"REF","RT","GT","BT","LT","aT","bT"
"17-1456 TCX","226","88","62","57.25","55.46","45.29"
"16-1541 TCX","246","116","95","65.56","51.39","38.15"
"17-1663 TCX","217","55","68","51.27","64.77","35.34"
"18-1652 TCX","187","54","63","45.15","55.22","29.11"
"19-1763 TCX","189","22","44","42.48","64.87","37.82"
"17-1558 TCX","223","63","50","53.14","63.86","47.73"
"16-1451 TCX","254","99","71","64.02","60.14","49.9"
"17-1664 TCX","220","52","59","51.47","66.39","41"
"18-1661 TCX","197","51","70","47.02","60.45","27.93"
"18-1655 TCX","188","39","50","43.67","60.65","35.62"
"17-1562 TCX","231","74","51","56.18","62.35","50.91"
"17-1547 TCX","234","103","89","61.32","53.14","35.42"
"18-1660 TCX","206","41","57","47.6","65.42","36.86"
"18-1764 TCX","204","28","59","46.18","67.93","33.82"
"19-1761 TCX","172","12","45","38.18","61.87","31.29"
"17-1564 TCX","221","65","50","52.97","62.32","47.26"
"17-1544 TCX","198","93","82","53.75","43.65","28.62"
"18-1664 TCX","208","28","31","46.83","68.62","50.71"
"18-1761 TCX","187","18","55","41.97","65.01","30.73"
"18-1663 TCX","190","19","45","42.5","65.45","37.2"
"17-1563 TCX","235","60","39","55.15","67.88","56.08"
"17-1553 TCX","206","77","66","52.13","53.31","36.24"
"18-1662 TCX","205","33","42","46.65","66.98","44.36"
"19-1760 TCX","188","44","61","44.13","59.65","29.3"
"19-1663 TCX","185","38","54","42.91","60.28","31.75"
"18-1561 TCX","218","50","28","50.55","65.96","55.48"
"18-1454 TCX","194","69","45","48.34","51.16","43.34"
"18-1763 TCX","199","31","45","45.26","65.65","40.75"
"19-1764 TCX","179","27","56","40.77","61.5","28.02"
"19-1664 TCX","191","25","50","43.18","65.02","35.26"
"18-1445 TCX","215","61","38","51.3","62.1","51.13"
"18-1555 TCX","181","51","46","43.59","54.27","36.93"
"18-1550 TCX","185","58","50","45.22","52.77","37.14"
"19-1762 TCX","174","15","54","38.87","62.15","26.52"
"19-1557 TCX","155","27","48","35.57","55.14","24.85"
